Name,Nat,IPL,IPL team(s),IPL 2014 team,Capped /,Base Price (in lakhs of rupees),IPL 2015 team,Auctioned (in lakhs of rupees)
Michael Hussey,Australia,55,Chennai Super Kings / Mumbai Indians,Mumbai Indians,Capped,150,Chennai Super Kings,150
Irfan Pathan,India,98,Delhi Daredevils / Kings XI Punjab / Sunrisers Hyderabad,Sunrisers Hyderabad,Capped,150,Chennai Super Kings,150
Rahul Sharma,India,44,Deccan Chargers / Pune Warriors India / Delhi Daredevils,Delhi Daredevils,Capped,30,Chennai Super Kings,30
Kyle Abbott,South Africa,0,,,Capped,30,Chennai Super Kings,30
Andrew Tye,Australia,0,,,Uncapped,20,Chennai Super Kings,20
Pratyush Singh,India,0,,,Uncapped,10,Chennai Super Kings,10
Ankush Bains,India,0,Rajasthan Royals,Rajasthan Royals,Uncapped,10,Chennai Super Kings,10
Eklavya Dwivedi,India,0,Pune Warriors India,,Uncapped,10,Chennai Super Kings,10
Yuvraj Singh,India,84,Kings XI Punjab / Pune Warriors India / Royal Challengers Bangalore,Royal Challengers Bangalore,Capped,200,Delhi Daredevils,1600
Angelo Mathews,Sri Lanka,35,Pune Warriors India / Kolkata Knight Riders,,Capped,150,Delhi Daredevils,750
Zaheer Khan,India,70,Mumbai Indians / Royal Challengers Bangalore,Mumbai Indians,Capped,100,Delhi Daredevils,400
Amit Mishra,India,86,Deccan Chargers / Delhi Daredevils / Sunrisers Hyderabad,Sunrisers Hyderabad,Capped,10,Delhi Daredevils,350
Shreyas Iyer,India,0,,,Uncapped,10,Delhi Daredevils,260
Gurinder Sandhu,Australia,0,,,Capped,30,Delhi Daredevils,170
Jaydev Unadkat,India,33,Kolkata Knight Riders / Royal Challengers Bangalore / Delhi Daredevils,Delhi Daredevils,Capped,50,Delhi Daredevils,110
Domnic Joseph,India,0,,,Uncapped,10,Delhi Daredevils,75
Albie Morkel,South Africa,85,Chennai Super Kings / Royal Challengers Bangalore,Royal Challengers Bangalore,Capped,30,Delhi Daredevils,30
Marcus Stoinis,Australia,0,,,Uncapped,20,Delhi Daredevils,25
CM Gautam,India,12,Delhi Daredevils / Royal Challengers Bangalore / Mumbai Indians,Mumbai Indians,Uncapped,20,Delhi Daredevils,20
Srikar Bharat,India,0,,,Uncapped,10,Delhi Daredevils,10
KK Jiyas,India,0,,,Uncapped,10,Delhi Daredevils,10
