Player,Type,Price (?),Team
Chris Morris*,Bowler,"7,00,00,000",DD
Kagiso Rabada,Bowler,"5,00,00,000",DD
Pat Cummins,Bowler,"4,50,00,000",DD
Mohammed Shami*,Bowler,"4,25,00,000",DD
Carlos Brathwaite*,Bowler,"4,20,00,000",DD
Sanju Samson*,Batsman,"4,20,00,000",DD
Karun Nair*,Batsman,"4,00,00,000",DD
Zaheer Khan*,Bowler,"4,00,00,000",DD
Amit Mishra*,Bowler,"3,50,00,000",DD
Quinton de Kock*,Batsman,"3,50,00,000",DD
Shreyas Iyer*,Batsman,"2,60,00,000",DD
JP Duminy*,All Rounder,"2,20,00,000",DD
Angelo Mathews,All Rounder,"2,00,00,000",DD
Rishabh Pant*,Wicket Keeper,"1,90,00,000",DD
Murugan Ashwin,Bowler,"1,00,00,000",DD
Corey Anderson,All Rounder,"1,00,00,000",DD
Shahbaz Nadeem*,Bowler,"85,00,000",DD
Sam Billings*,Batsman,"30,00,000",DD
Aditya Tare,Wicket Keeper,"25,00,000",DD
Ankit Bawne,Batsman,"10,00,000",DD
Jayant Yadav*,Bowler,"10,00,000",DD
Navdeep Saini,Bowler,"10,00,000",DD
Chama Milind*,Bowler,"10,00,000",DD
Shashank Singh,All Rounder,"10,00,000",DD
Pratyush Singh*,Bowler,"10,00,000",DD
Khaleel Ahmed*,Bowler,"10,00,000",DD
Virat Kohli*,Batsman,"12,50,00,000",RCB
Tymal Mills,Bowler,"12,00,00,000",RCB
AB de Villiers*,Batsman,"9,50,00,000",RCB
Shane Watson*,All Rounder,"9,50,00,000",RCB
Chris Gayle*,All Rounder,"7,50,00,000",RCB
Kedar Jadhav*,Batsman,"2,17,50,000",RCB
Stuart Binny*,All Rounder,"2,00,00,000",RCB
Aniket Choudhary,Bowler,"2,00,00,000",RCB
Pawan Negi,Bowler,"1,00,00,000",RCB
Lokesh Rahul*,Wicket Keeper,"1,00,00,000",RCB
Mandeep Singh*,Batsman,"80,00,000",RCB
Adam Milne*,Bowler,"70,00,000",RCB
Travis Head*,Batsman,"50,00,000",RCB
Samuel Badree*,Bowler,"50,00,000",RCB
Sarfaraz Khan*,Batsman,"50,00,000",RCB
Harshal Patel*,Bowler,"40,00,000",RCB
Billy Stanlake,Bowler,"30,00,000",RCB
Tabraiz Shamsi*,Bowler,"10,00,000",RCB
Sachin Baby*,Batsman,"10,00,000",RCB
Iqbal Abdulla*,Bowler,"10,00,000",RCB
Sreenath Aravind*,Bowler,"10,00,000",RCB
Yuzvendra Chahal*,Bowler,"10,00,000",RCB
Avesh Khan*,Bowler,"10,00,000",RCB
Praveen Dubey,All Rounder,"10,00,000",RCB
David Miller*,Batsman,"12,50,00,000",KXIP
Mohit Sharma*,Bowler,"6,50,00,000",KXIP
Glenn Maxwell*,All Rounder,"6,00,00,000",KXIP
Manan Vohra*,Batsman,"4,00,00,000",KXIP
Murali Vijay*,Batsman,"3,00,00,000",KXIP
T Natarajan,Bowler,"3,00,00,000",KXIP
Varun Aaron,Bowler,"2,80,00,000",KXIP
Shaun Marsh*,Batsman,"2,20,00,000",KXIP
Wriddhiman Saha*,Wicket Keeper,"2,20,00,000",KXIP
Eoin Morgan,Batsman,"2,00,00,000",KXIP
Gurkeerat Singh Mann*,Batsman,"1,30,00,000",KXIP
Hashim Amla*,Batsman,"1,00,00,000",KXIP
Sandeep Sharma*,Bowler,"85,00,000",KXIP
Kishan Cariappa*,Bowler,"80,00,000",KXIP
Axar Patel*,All Rounder,"75,00,000",KXIP
Marcus Stoinis*,All Rounder,"55,00,000",KXIP
Matt Henry,Bowler,"50,00,000",KXIP
Martin Guptill,Batsman,"50,00,000",KXIP
Nikhil Naik*,Wicket Keeper,"30,00,000",KXIP
Darren Sammy,All Rounder,"30,00,000",KXIP
Rahul Tewatia,All Rounder,"25,00,000",KXIP
Anureet Singh*,Bowler,"20,00,000",KXIP
Shardul Thakur*,Bowler,"20,00,000",KXIP
Swapnil Singh*,Bowler,"10,00,000",KXIP
Pardeep Sahu*,All Rounder,"10,00,000",KXIP
Rinku Singh,Batsman,"10,00,000",KXIP
Armaan Jaffer*,Bowler,"10,00,000",KXIP
Gautam Gambhir*,Batsman,"12,50,00,000",KKR
Sunil Narine*,Bowler,"9,50,00,000",KKR
Trent Boult,Bowler,"5,00,00,000",KKR
