Player,MatDescending,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Mashrafe Mortaza (BDESH),10,59,22,11.8,0,5,20-Feb,60,0,2,0,-48.19
Sabbir Rahman (BDESH),10,275,51*,34.37,0,3,Mar-18,12.66,0,7,0,21.7
R Ashwin (INDIA),9,42,31*,42,0,18,8-Apr,11.05,0,0,0,30.94
S Dhawan (INDIA),9,195,51,24.37,0,-,-,-,-,2,0,-
MS Dhoni (INDIA),9,69,20*,23,0,-,-,-,-,6,5,-
MJ Guptill (NZ),9,393,87*,49.12,0,-,-,-,-,5,0,-
C Munro (NZ),9,188,56,31.33,0,0,-,-,0,3,0,-
SK Raina (INDIA),9,189,49*,31.5,0,3,6-Feb,17.66,0,4,0,13.83
L Ronchi (NZ),9,46,29,7.66,0,-,-,-,-,11,0,-
RG Sharma (INDIA),9,410,106,45.55,1,-,-,-,-,2,0,-
TAM Siriwardana (SL),9,168,42,28,0,5,17-Feb,18,0,4,0,10
KS Williamson (NZ),9,404,72*,57.71,0,0,-,-,0,8,0,-
KJ Abbott (SA),8,11,9*,-,0,11,20-Mar,18.9,0,1,0,-
AB de Villiers (SA),8,238,71,29.75,0,-,-,-,-,6,1,-
TM Dilshan (SL),8,153,56,19.12,0,0,-,-,0,1,0,-
GD Elliott (NZ),8,65,20,13,0,10,22-Apr,11.2,0,3,0,1.8
MJ McClenaghan (NZ),8,0,0,0,0,9,23-Feb,25.66,0,3,0,-25.66
Mahmudullah (BDESH),8,105,54,17.5,0,2,Jan-18,32,0,5,0,-14.49
DA Miller (SA),8,85,30*,28.33,0,-,-,-,-,6,0,-
Mushfiqur Rahim (BDESH),8,132,26,22,0,-,-,-,-,5,1,-
Mustafizur Rahman (BDESH),8,2,1*,1,0,10,16-Feb,18.9,0,0,0,-17.89
Shakib Al Hasan (BDESH),8,148,57*,29.6,0,7,Mar-32,33,0,2,0,-3.39
Soumya Sarkar (BDESH),8,141,43,17.62,0,0,-,-,0,5,0,-
Tamim Iqbal (BDESH),8,137,31,17.12,0,-,-,-,-,1,0,-
JJ Bumrah (INDIA),7,0,0,0,0,10,23-Mar,17.2,0,0,0,-17.19
LD Chandimal (SL),7,124,40*,20.66,0,-,-,-,-,5,0,-
RA Jadeja (INDIA),7,7,6,7,0,8,Feb-18,21.5,0,5,0,-14.49
CK Kapugedera (SL),7,155,48*,38.75,0,-,-,-,-,2,0,-
AF Milne (NZ),7,14,10*,-,0,14,1-Apr,12.71,0,3,0,-
A Nehra (INDIA),7,6,6,6,0,10,23-Mar,18.3,0,1,0,-12.29
HH Pandya (INDIA),7,60,31,20,0,4,1-Feb,34.25,0,4,0,-14.24
NLTC Perera (SL),7,49,28,8.16,0,7,1-Mar,23.57,0,0,0,-15.4
K Rabada (SA),7,5,5*,-,0,11,30-Mar,17.63,0,0,0,-
AU Rashid (ENG),7,14,7*,7,0,6,Feb-18,27.66,0,3,0,-20.66
JJ Roy (ENG),7,96,29,13.71,0,-,-,-,-,1,0,-
Yuvraj Singh (INDIA),7,40,15*,13.33,0,2,7-Jan,35,0,3,0,-21.66
