Player,Mat,Inns,Overs,Mdns,Runs,WktsDescending,BBI,Ave,Econ,SR,4,5
Imran Tahir (SA),13,13,49.5,0,314,27,24-May,11.62,6.3,11,1,1
JJ Bumrah (INDIA),18,18,67.4,3,438,24,11-Mar,18.25,6.47,16.9,0,0
JP Faulkner (AUS),11,11,40.1,0,312,21,27-May,14.85,7.76,11.4,0,1
Al-Amin Hossain (BDESH),12,11,34.5,0,289,19,25-Mar,15.21,8.29,11,0,0
CJ Jordan (ENG),13,13,46.4,0,409,17,28-Apr,24.05,8.76,16.4,1,0
KMDN Kulasekara (SL),12,12,42,1,331,17,Apr-31,19.47,7.88,14.8,1,0
Shakib Al Hasan (BDESH),15,14,51.4,0,358,17,15-Apr,21.05,6.92,18.2,1,0
IS Sodhi (NZ),7,7,27.4,0,178,15,18-Mar,11.86,6.43,11,0,0
A Nehra (INDIA),12,12,43,2,295,14,23-Mar,21.07,6.86,18.4,0,0
A Zampa (AUS),10,10,35,0,212,14,16-Mar,15.14,6.05,15,0,0
KJ Abbott (SA),7,7,26.3,0,212,13,26-Mar,16.3,8,12.2,0,0
Mustafizur Rahman (BDESH),8,8,32,0,209,13,22-May,16.07,6.53,14.7,0,1
K Rabada (SA),8,8,31.2,0,271,13,25-Feb,20.84,8.64,14.4,0,0
MJ Santner (NZ),9,9,33.1,0,225,13,11-Apr,17.3,6.78,15.3,1,0
HH Pandya (INDIA),13,12,35.3,1,275,12,8-Mar,22.91,7.74,17.7,0,0
YS Chahal (INDIA),6,6,24,1,174,11,25-Jun,15.81,7.25,13,0,1
CH Morris (SA),8,8,29,1,247,11,27-Apr,22.45,8.51,15.8,1,0
MM Ali (ENG),12,11,35,0,273,10,21-Feb,27.3,7.8,21,0,0
R Ashwin (INDIA),11,11,36,0,246,10,11-Feb,24.6,6.83,21.6,0,0
SL Malinga (SL),4,4,16,0,121,10,26-Apr,12.1,7.56,9.6,1,0
DJ Willey (ENG),8,8,25,0,190,10,20-Mar,19,7.6,15,0,0
RA Jadeja (INDIA),11,11,36,0,266,9,11-Feb,29.55,7.38,24,0,0
Mashrafe Mortaza (BDESH),15,14,43.2,0,333,9,12-Feb,37,7.68,28.8,0,0
AU Rashid (ENG),13,12,40,1,315,9,18-Feb,35,7.87,26.6,0,0
Rubel Hossain (BDESH),3,3,12,0,111,7,31-Mar,15.85,9.25,10.2,0,0
BA Stokes (ENG),12,12,38.4,1,340,7,26-Mar,48.57,8.79,33.1,0,0
NM Coulter-Nile (AUS),6,6,24,0,197,6,29-Mar,32.83,8.2,24,0,0
HMRKB Herath (SL),8,8,31.2,1,199,6,22-Feb,33.16,6.35,31.3,0,0
L Ngidi (SA),3,3,8,0,44,6,19-Apr,7.33,5.5,8,1,0
LE Plunkett (ENG),8,8,27.5,1,207,6,27-Feb,34.5,7.43,27.8,0,0
PADLR Sandakan (SL),3,3,12,0,76,6,23-Apr,12.66,6.33,12,1,0
BB Sran (INDIA),2,2,8,1,41,6,10-Apr,6.83,5.12,8,1,0
