Player,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s
C Munro (NZ),14,14,2,572,109*,47.66,10-Nov,181.58,2,4,1,44,40
MJ Guptill (NZ),14,14,0,465,105,33.21,30-Nov,138.8,1,4,0,31,27
RG Sharma (INDIA),12,12,0,315,118,26.25,1-Jul,172.13,1,1,1,34,18
V Kohli (INDIA),9,9,2,274,82,39.14,24-Jun,155.68,0,2,1,28,8
S Dhawan (INDIA),9,9,1,270,80,33.75,3-Jul,145.94,0,2,0,35,6
MK Pandey (INDIA),10,9,5,260,79*,65,Jul-00,139.03,0,2,0,18,9
DJ Malan (ENG),5,5,0,250,78,50,14-Jun,150.6,0,4,0,26,11
GJ Maxwell (AUS),7,6,3,250,103*,83.33,4-Jun,160.25,1,0,0,23,10
AB de Villiers (SA),6,6,1,241,65*,48.2,4-Jun,154.48,0,1,0,22,9
MS Dhoni (INDIA),13,12,6,235,52*,39.16,10-Jun,145.06,0,1,0,18,10
AJ Finch (AUS),8,8,3,232,53,46.4,25-May,158.9,0,1,0,19,12
F Behardien (SA),9,9,5,219,64*,54.75,1-Jun,143.13,0,1,0,14,10
Soumya Sarkar (BDESH),6,6,0,205,51,34.16,10-May,156.48,0,1,1,24,8
KS Williamson (NZ),13,13,1,204,72,17,3-Jul,110.27,0,1,1,14,6
AD Hales (ENG),7,7,1,199,47*,33.16,8-May,154.26,0,0,0,23,8
DAS Gunaratne (SL),8,8,1,197,84*,28.14,28-May,132.21,0,2,2,17,5
DJM Short (AUS),5,5,1,196,76,49,10-May,149.61,0,2,0,20,9
DA Miller (SA),8,8,2,188,101*,31.33,21-Apr,167.85,1,0,0,10,12
MDKJ Perera (SL),5,5,0,181,77,36.2,3-May,145.96,0,2,0,15,8
WU Tharanga (SL),11,11,0,180,47,16.36,21-May,126.76,0,0,1,20,6
KL Rahul (INDIA),4,4,0,178,89,44.5,3-May,143.54,0,2,0,15,9
EMDY Munaweera (SL),9,9,0,176,53,19.55,1-May,144.26,0,1,1,20,7
JP Duminy (SA),6,6,1,168,64*,33.6,1-May,137.7,0,2,0,8,9
LRPL Taylor (NZ),8,8,4,159,43*,39.75,2-May,129.26,0,0,0,8,7
MD Shanaka (SL),9,9,3,157,54,26.16,21-Apr,140.17,0,1,3,13,9
TC Bruce (NZ),11,11,1,155,33,15.5,3-May,125,0,0,0,15,6
MD Gunathilaka (SL),6,6,0,153,51,25.5,5-May,121.42,0,1,0,17,3
HM Amla (SA),3,3,0,150,85,50,7-Apr,153.06,0,2,0,20,2
JJ Roy (ENG),8,8,0,149,67,18.62,12-Apr,144.66,0,1,1,20,4
Mahmudullah (BDESH),6,6,1,146,43,29.2,26-Apr,124.78,0,0,0,11,3
MC Henriques (AUS),5,5,3,145,62*,72.5,14-Apr,138.09,0,2,0,7,7
NLTC Perera (SL),11,11,2,145,39*,16.11,9-Apr,145,0,0,1,15,5
M Klinger (AUS),3,3,0,143,62,47.66,Apr-00,127.67,0,1,0,12,2
BKG Mendis (SL),4,4,0,142,70,35.5,26-Mar,165.11,0,2,0,16,5
JM Bairstow (ENG),3,3,1,134,60*,67,2-Apr,144.08,0,1,0,15,4
TM Head (AUS),6,6,1,128,48*,25.6,17-Apr,118.51,0,0,0,6,4
JC Buttler (ENG),8,7,0,126,46,18,1-May,103.27,0,0,0,7,2
MJ Santner (NZ),14,9,5,126,37,31.5,Mar-00,155.55,0,0,1,12,5
RR Hendricks (SA),6,6,0,113,70,18.83,4-Apr,118.94,0,1,1,14,1
N Dickwella (SL),7,7,0,111,30,15.85,29-Mar,124.71,0,0,0,15,2
S Prasanna (SL),9,9,3,111,23*,18.5,Mar-00,121.97,0,0,0,6,6
EJG Morgan (ENG),5,4,1,110,80*,36.66,11-Mar,154.92,0,1,0,7,7
Mushfiqur Rahim (BDESH),6,6,1,110,66*,22,15-Mar,146.66,0,1,0,10,4
DA Warner (AUS),7,7,0,106,59,15.14,11-Mar,149.29,0,1,0,10,5
C de Grandhomme (NZ),12,10,3,102,38*,14.57,3-Mar,161.9,0,0,2,4,8
CK Kapugedera (SL),5,4,1,99,50,33,20-Mar,123.75,0,1,0,11,1
GD Phillips (NZ),8,7,1,97,56,16.16,Mar-00,108.98,0,1,0,6,4
CA Lynn (AUS),5,4,0,93,44,23.25,7-Mar,138.8,0,0,1,11,4
H Klaasen (SA),3,3,0,92,69,30.66,17-Feb,191.66,0,1,0,4,8
