Player,Runs_t20,HS_t20,Bat Av_t20,Wkts_t20,BBI_t20,Bowl Av_t20,Ct_t20,St_t20,Ave Diff_t20,Team_t20,Matches_t20,100s_t20,5s_t20,Runs_odi,HS_odi,Bat Av_odi,Wkts_odi,BBI_odi,Bowl Av_odi,Ct_odi,St_odi,Ave Diff_odi,Team_odi,Matches_odi,100s_odi,5s_odi,Price,Score,Price_score,Price_adjusted
Mashrafe Mortaza,59,22,11.8,5,20-Feb,60,2,0,-48.19,,10,0,0,96,21,10.66,21,20-Mar,32.95,6,0,-22.28,,16,0,0,0,38.8,13.3287530058,671.5348503355
Sabbir Rahman,275,51,34.37,3,Mar-18,12.66,7,0,21.7,,10,0,0,399,57,33.25,2,12-Jan,68.5,12,0,-35.24,,18,0,0,0,88.37,30.3572655445,1529.4725444369
R Ashwin,42,31,42,18,8-Apr,11.05,0,0,30.94,,9,0,0,34,16,8.5,21,25-Apr,26.14,4,0,-17.64,,13,0,0,0,91,31.2607351426,1574.9915304261
S Dhawan,195,51,24.37,0,0,0,2,0,0,,9,0,0,910,137,45.5,0,0,0,12,0,0,,20,3,0,0,75.37,25.8914462384,1304.473754376
MS Dhoni,69,20,23,0,0,0,6,5,0,,9,0,0,638,92,42.53,0,0,0,25,4,0,,20,0,0,0,43,14.7715561663,744.2267671244
MJ Guptill,393,87,49.12,0,0,0,5,0,0,,9,0,0,1603,237,64.12,0,0,0,21,0,0,,29,5,0,0,136.12,46.7605633803,2355.9104079297
C Munro,188,56,31.33,0,0,0,3,0,0,Kolkata Knight Riders,9,0,0,77,35,25.66,0,0,0,1,0,0,Kolkata Knight Riders,5,0,0,30,87.33,30,1511.472641232
SK Raina,189,49,31.5,3,6-Feb,17.66,4,0,13.83,,9,0,0,390,110,32.5,5,Mar-45,48.8,8,0,-16.29,,15,1,0,0,83.5,28.6843009275,1445.1845361602
L Ronchi,46,29,7.66,0,0,0,11,0,0,,9,0,0,218,37,10.9,0,0,0,29,3,0,,29,0,0,0,36.66,12.5936104431,634.4965879717
RG Sharma,410,106,45.55,0,0,0,2,0,0,,9,1,0,1103,171,61.27,0,0,0,8,0,0,,20,4,0,0,151.55,52.061147372,2622.9666641327
TAM Siriwardana,168,42,28,5,17-Feb,18,4,0,10,,9,0,0,262,66,29.11,8,27-Feb,30.5,4,0,-1.38,,13,0,0,0,75,25.7643421505,1298.0699426589
KS Williamson,404,72,57.71,0,0,0,8,0,0,,9,0,0,1157,118,48.2,3,11-Jan,61.66,12,0,-13.45,,27,1,0,0,129.71,44.5585709378,2244.9686968304
KJ Abbott,11,9,0,11,20-Mar,18.9,1,0,0,,8,0,0,35,12,11.66,20,21-Apr,24.75,4,0,-13.08,,13,0,0,0,20,6.8704912401,346.151984709
AB de Villiers,238,71,29.75,0,0,0,6,1,0,,8,0,0,1137,162,81.21,4,15-Feb,24.25,11,0,56.96,,20,5,0,0,100.75,34.6100996221,1743.7406229717
TM Dilshan,153,56,19.12,0,0,0,1,0,0,,8,0,0,791,161,46.52,9,Feb-35,40.33,9,0,6.19,,19,2,0,0,75.12,25.8055650979,1300.1468545671
GD Elliott,65,20,13,10,22-Apr,11.2,3,0,1.8,,8,0,0,648,84,34.1,12,Mar-43,38.75,7,0,-4.64,,24,0,0,0,43,14.7715561663,744.2267671244
MJ McClenaghan,0,0,0,9,23-Feb,25.66,3,0,-25.66,,8,0,0,49,31,24.5,16,Mar-32,42.12,1,0,-17.62,,14,0,0,0,9,3.0917210581,155.7683931191
Mahmudullah,105,54,17.5,2,Jan-18,32,5,0,-14.49,,8,0,0,506,128,38.92,3,13-Jan,69,4,0,-30.07,,15,2,0,0,73.5,25.2490553075,1272.1085438057
DA Miller,85,30,28.33,0,0,0,6,0,0,,8,0,0,368,49,26.28,0,0,0,12,0,0,,18,0,0,0,58.33,20.0377877018,1009.5522634039
Mushfiqur Rahim,132,26,22,0,0,0,5,1,0,,8,0,0,767,107,51.13,0,0,0,22,2,0,,18,2,0,0,48,16.4891789763,830.7647633017
Mustafizur Rahman,2,1,1,10,16-Feb,18.9,0,0,-17.89,,8,0,0,15,9,7.5,26,Jun-43,12.34,2,0,-4.84,,9,0,3,0,12,4.1222947441,207.6911908254
Shakib Al Hasan,148,57,29.6,7,Mar-32,33,2,0,-3.39,,8,0,0,421,63,42.1,24,May-47,27.66,3,0,14.43,,16,0,1,0,93.6,32.1538990038,1619.9912884383
Soumya Sarkar,141,43,17.62,0,0,0,5,0,0,,8,0,0,672,127,51.69,0,0,0,11,0,0,,15,1,0,0,60.62,20.8244589488,1049.1866656531
Tamim Iqbal,137,31,17.12,0,0,0,1,0,0,,8,0,0,742,132,46.37,0,0,0,1,0,0,,18,2,0,0,48.12,16.5304019237,832.8416752099
JJ Bumrah,0,0,0,10,23-Mar,17.2,0,0,-17.19,,7,0,0,0,0,0,2,Feb-40,20,0,0,0,,1,0,0,0,10,3.4352456201,173.0759923545
LD Chandimal,124,40,20.66,0,0,0,5,0,0,,7,0,0,361,65,51.57,0,0,0,10,1,0,,15,0,0,0,60.66,20.8381999313,1049.8789696225
RA Jadeja,7,6,7,8,Feb-18,21.5,5,0,-14.49,,7,0,0,150,32,25,12,23-Feb,52.83,3,0,-27.83,,14,0,0,0,21,7.2140158021,363.4595839445
CK Kapugedera,155,48,38.75,0,0,0,2,0,0,,7,0,0,30,12,10,0,0,0,1,0,0,,5,0,0,0,86.75,29.800755754,1501.4342336754
AF Milne,14,10,0,14,1-Apr,12.71,3,0,0,,7,0,0,92,36,18.4,15,Mar-49,40.4,7,0,-21.99,,16,0,0,0,24,8.2445894881,415.3823816508
A Nehra,6,6,6,10,23-Mar,18.3,1,0,-12.29,Sunrisers Hyderabad,7,0,0,,,,,,,,,,,,,,550,22,7.5575403641,380.7671831799
HH Pandya,60,31,20,4,1-Feb,34.25,4,0,-14.24,,7,0,0,,,,,,,,,,,,,,0,55,18.8938509103,951.9179579498
NLTC Perera,49,28,8.16,7,1-Mar,23.57,0,0,-15.4,,7,0,0,105,47,15,10,Feb-38,48.6,9,0,-33.59,,12,0,0,0,43.16,14.8265200962,746.9959830021
K Rabada,5,5,0,11,30-Mar,17.63,0,0,0,,7,0,0,50,19,12.5,30,16-Jun,20.13,3,0,-7.63,,14,0,1,0,16,5.4963929921,276.9215877672
AU Rashid,14,7,7,6,Feb-18,27.66,3,0,-20.66,,7,0,0,234,69,26,24,Apr-55,42,6,0,-15.99,,20,0,0,0,20,6.8704912401,346.151984709
JJ Roy,96,29,13.71,0,0,0,1,0,0,,7,0,0,558,102,29.36,0,0,0,5,0,0,,20,1,0,0,42.71,14.6719340433,739.2075633461
Yuvraj Singh,40,15,13.33,2,7-Jan,35,3,0,-21.66,,7,0,0,,,,,,,,,,,,,,0,30.33,10.4190999656,524.9394848112
HM Amla,191,69,38.2,0,0,0,5,0,0,,6,0,0,834,159,36.26,0,0,0,16,0,0,,23,3,0,0,107.2,36.8258330471,1855.3746380404
SW Billings,99,53,16.5,0,0,0,5,1,0,,6,0,0,90,41,22.5,0,0,0,1,0,0,,5,0,0,0,69.5,23.8749570594,1202.8781468639
PVD Chameera,12,9,12,7,14-Feb,25.42,4,0,-13.42,,6,0,0,36,13,18,8,Mar-51,36.12,2,0,-18.12,,8,0,0,0,28,9.6186877362,484.6127785926
JP Duminy,145,68,48.33,2,Feb-18,30.5,4,0,17.83,,6,0,0,269,51,24.45,7,29-Mar,63.57,10,0,-39.11,,15,0,0,0,118.33,40.6492614222,2048.008217531
F du Plessis,162,79,40.5,0,0,0,4,0,0,,6,0,0,957,133,63.8,0,0,0,7,0,0,,19,2,0,0,119.5,41.0511851597,2068.2581086365
AD Hales,92,27,15.33,0,0,0,1,0,0,,6,0,0,836,112,39.8,0,0,0,5,0,0,,22,2,0,0,42.33,14.5413947097,732.6306756367
V Kohli,250,90,62.5,0,0,0,2,0,0,,6,0,0,873,138,48.5,0,0,0,13,0,0,,20,3,0,0,152.5,52.3874957059,2639.4088834064
EJG Morgan,186,74,37.2,0,0,0,2,0,0,,6,0,0,908,113,41.27,0,0,0,9,0,0,,24,1,0,0,111.2,38.1999312951,1924.6050349822
RR Rossouw,132,38,44,0,0,0,6,0,0,,6,0,0,444,89,37,0,0,0,12,0,0,,15,0,0,0,82,28.1690140845,1419.223137307
