Player,Runs_t20,HS_t20,Bat Av_t20,Wkts_t20,BBI_t20,Bowl Av_t20,Ct_t20,St_t20,Ave Diff_t20,Team_t20,Matches_t20,100s_t20,5s_t20,Runs_odi,HS_odi,Bat Av_odi,Wkts_odi,BBI_odi,Bowl Av_odi,Ct_odi,St_odi,Ave Diff_odi,Team_odi,Matches_odi,100s_odi,5s_odi,Price,Score,Price_score
MJ Guptill,465,105,33.21,0,0,0,4,0,0,,14,1,0,633,180,57.54,0,0,0,6,0,0,,13,2,0,0,138.21,2274.1882404563
C Munro,572,109,47.66,3,12-Jan,33.33,5,0,14.33,DD,14,2,0,430,75,30.71,2,02-Oct,69.5,9,0,-38.78,DD,15,0,0,190,159.66,2627.1390960948
MJ Santner,126,37,31.5,9,15-Feb,37,6,0,-5.49,,14,0,0,145,29,13.18,26,May-50,28.76,7,0,-15.58,,21,0,1,0,77.5,1275.2303641948
IS Sodhi,39,15,13,15,23-Feb,26.13,4,0,-13.13,,14,0,0,0,0,0,6,Feb-40,34,0,0,0,,5,0,0,0,43,707.5471698113
MS Dhoni,235,52,39.16,0,0,0,7,6,0,CSK,13,0,0,692,79,57.66,0,0,0,28,13,0,CSK,32,0,0,1500,91.16,1500
TG Southee,52,20,13,16,13-Mar,22.56,3,0,-9.56,,13,0,0,108,25,27,24,Mar-22,34.29,9,0,-7.29,,17,0,0,0,49,806.274681878
KS Williamson,204,72,17,0,0,0,5,0,0,,13,0,0,797,115,46.88,3,Feb-32,33.66,9,0,13.21,,17,2,0,0,89,1464.458095656
TA Boult,2,1,0,19,Apr-34,20.1,3,0,0,,12,0,0,19,13,6.33,32,Jul-34,26.56,4,0,-20.22,,18,0,2,0,20,329.091706889
C de Grandhomme,102,38,14.57,6,22-Feb,40.83,4,0,-26.26,,12,0,0,252,74,126,6,Feb-40,48.5,0,0,77.5,,10,0,0,0,58.57,963.7450636244
RG Sharma,315,118,26.25,0,0,0,6,0,0,,12,1,0,1463,208,60.95,0,0,0,6,0,0,,27,7,0,0,144.25,2373.5739359368
TC Bruce,155,33,15.5,0,0,0,10,0,0,,11,0,0,,,,,,,,,,,,,,0,48.5,798.0473892058
HH Pandya,88,25,14.66,11,29-Mar,23.36,9,0,-8.69,,11,0,0,468,83,26,30,Mar-40,38.73,13,0,-12.73,,31,0,0,0,50.66,833.5892935498
NLTC Perera,145,39,16.11,8,24-Mar,35.87,5,0,-19.76,,11,0,0,353,64,23.53,22,Apr-33,30.81,3,0,-7.28,,19,0,0,0,63.11,1038.4488810882
WU Tharanga,180,47,16.36,0,0,0,0,0,0,,11,0,0,970,112,48.5,0,0,0,13,0,0,,25,1,0,0,63.36,1042.5625274243
JJ Bumrah,8,7,8,8,9-Feb,31.37,1,0,-23.37,,10,0,0,11,10,5.5,42,May-27,22.92,8,0,-17.42,,26,0,1,0,23,378.4554629223
YS Chahal,3,3,0,16,23-Apr,21.43,3,0,0,,10,0,0,1,1,1,37,May-22,23.29,3,0,-22.29,,20,0,1,0,19,312.6371215445
B Kumar,6,3,6,12,24-May,19.75,1,0,-13.74,SRH,10,0,1,172,53,43,29,May-42,35.55,6,0,7.44,SRH,27,0,1,850,21,345.5462922334
MK Pandey,260,79,65,0,0,0,3,0,0,,10,0,0,171,50,34.2,0,0,0,4,0,0,,10,0,0,0,144,2369.4602896007
F Behardien,219,64,54.75,0,0,0,3,0,0,,9,0,0,58,33,19.33,0,0,0,3,0,0,,5,0,0,0,118.75,1953.9820096534
S Dhawan,270,80,33.75,0,0,0,5,0,0,SRH,9,0,0,1271,132,55.26,0,0,0,11,0,0,SRH,26,4,0,520,113.75,1871.7090829311
V Kohli,274,82,39.14,0,0,0,3,0,0,RCB,9,0,0,1833,160,96.47,0,0,0,14,0,0,RCB,29,8,0,1700,121.14,1993.3084686266
EMDY Munaweera,176,53,19.55,1,26-Jan,92,0,0,-72.44,,9,0,0,15,11,7.5,0,0,0,2,0,0,,2,0,0,0,73.55,1210.2347520843
AL Phehlukwayo,40,27,20,12,19-Mar,17.58,1,0,2.41,,9,0,0,159,34,26.5,15,Apr-40,39.4,4,0,-12.89,,15,0,0,0,59,970.8205353225
S Prasanna,111,23,18.5,4,19-Jan,38,3,0,-19.49,,9,0,0,35,16,8.75,4,Feb-33,42.5,2,0,-33.74,,4,0,0,0,45.5,748.6836331724
MD Shanaka,157,54,26.16,5,27-Feb,17.4,3,0,8.76,,9,0,0,,,,,,,,,,,,,,0,85.16,1401.2724879333
AJ Tye,0,0,0,14,23-Apr,20.21,3,0,-20.21,,9,0,0,23,8,11.5,8,May-46,21.12,1,0,-9.62,,4,0,1,0,14,230.3641948223
JC Buttler,126,46,18,0,0,0,7,0,0,,8,0,0,403,100,36.63,0,0,0,27,6,0,,20,1,0,0,64,1053.0934620448
AJ Finch,232,53,46.4,0,0,0,3,0,0,,8,0,0,620,124,68.88,0,0,0,7,0,0,,9,3,0,0,99.4,1635.5857832383
DAS Gunaratne,197,84,28.14,4,11-Jan,27.25,2,0,0.89,,8,0,0,336,59,25.84,13,Mar-37,34,6,0,-8.15,,19,0,0,0,116.14,1911.0355419044
CJ Jordan,35,16,17.5,8,31-Mar,35.25,2,0,-17.74,,8,0,0,,,,,,,,,,,,,,0,41.5,682.8652917946
Kuldeep Yadav,16,16,16,12,Mar-52,18.5,1,0,-2.49,,8,0,0,23,19,11.5,39,Apr-23,20.02,2,0,-8.52,,20,0,0,0,44,724.0017551558
DA Miller,188,101,31.33,0,0,0,7,0,0,,8,1,0,360,75,32.72,0,0,0,6,0,0,,16,0,0,0,132.33,2177.435278631
GD Phillips,97,56,16.16,0,0,0,7,2,0,,8,0,0,,,,,,,,,,,,,,0,72.16,1187.3628784555
JJ Roy,149,67,18.62,0,0,0,1,0,0,,8,0,0,563,180,31.27,0,0,0,10,0,0,,18,1,0,0,85.62,1408.8415971918
JRMVB Sanjaya,20,6,6.66,9,20-Feb,27.77,1,0,-21.11,,8,0,0,,,,,,,,,,,,,,0,21.66,356.4063185608
LRPL Taylor,159,43,39.75,0,0,0,2,0,0,,8,0,0,1014,102,56.33,0,0,0,14,0,0,,23,1,0,0,82.75,1361.6169372532
DJ Willey,46,21,7.66,6,28-Mar,41.66,3,0,-33.99,,8,0,0,30,26,15,3,Jan-34,70,2,0,-54.99,,7,0,0,0,34.66,570.3159280386
SW Billings,72,29,12,0,0,0,5,0,0,,7,0,0,61,52,15.25,0,0,0,7,0,0,,6,0,0,0,41,674.6379991224
N Dickwella,111,30,15.85,0,0,0,6,0,0,,7,0,0,694,116,30.17,0,0,0,22,5,0,,25,2,0,0,45.85,754.442738043
AD Hales,199,47,33.16,0,0,0,3,0,0,,7,0,0,612,110,36,0,0,0,11,0,0,,18,1,0,0,80.16,1318.9995612111
