Player,Mat_t20,Inns_t20,Overs_t20,Mdns_t20,Runs_t20,BBI_t20,Ave_t20,Econ_t20,SR_t20,Team_t20,Wkts_t20,4s_t20,5s_t20,Mat_odi,Inns_odi,Overs_odi,Mdns_odi,Runs_odi,BBI_odi,Ave_odi,Econ_odi,SR_odi,Team_odi,Wkts_odi,4s_odi,5s_odi,Price
Imran Tahir,10.0,10.0,38.0,0.0,258.0,Apr-21,14.33,6.78,12.6,,18.0,1.0,0.0,19.0,19.0,170.5,4.0,751.0,28-Apr,22.75,4.39,31.0,,33.0,1.0,0.0,0.0
WD Parnell,9.0,9.0,29.2,1.0,256.0,Mar-31,19.69,8.72,13.5,,13.0,0.0,0.0,13.0,12.0,100.0,3.0,568.0,Apr-42,28.4,5.68,30.0,,20.0,1.0,0.0,0.0
D Wiese,4.0,4.0,14.2,0.0,107.0,May-23,8.91,7.46,7.1,Royal Challengers Bangalore,12.0,0.0,1.0,,,,,,,,,,,,,,280.0
R Ashwin,7.0,7.0,27.1,0.0,161.0,04-Nov,14.63,5.92,14.8,,11.0,1.0,0.0,15.0,15.0,144.5,11.0,677.0,31-Mar,25.07,4.67,32.1,,27.0,0.0,0.0,0.0
Al-Amin Hossain,8.0,7.0,25.3,0.0,187.0,Mar-21,18.7,7.33,15.3,,10.0,0.0,0.0,11.0,11.0,79.3,7.0,442.0,Apr-51,26.0,5.55,28.0,,17.0,2.0,0.0,0.0
A Mishra,6.0,6.0,22.0,1.0,147.0,Mar-26,14.7,6.68,13.2,Delhi Daredevils,10.0,0.0,0.0,6.0,5.0,50.0,3.0,216.0,28-Feb,27.0,4.32,37.5,Delhi Daredevils,8.0,0.0,0.0,350.0
KMDN Kulasekara,7.0,7.0,22.5,3.0,160.0,Apr-32,17.77,7.0,15.2,,9.0,1.0,0.0,20.0,20.0,146.5,9.0,903.0,15-Mar,50.16,6.14,48.9,,18.0,0.0,0.0,0.0
DW Steyn,5.0,5.0,19.1,0.0,153.0,Apr-17,17.0,7.98,12.7,,9.0,1.0,0.0,19.0,19.0,155.3,10.0,780.0,Apr-34,26.0,5.01,31.1,,30.0,1.0,0.0,0.0
TA Boult,4.0,4.0,16.0,1.0,95.0,Mar-20,11.87,5.93,12.0,,8.0,0.0,0.0,11.0,11.0,101.1,9.0,460.0,Apr-44,27.05,4.54,35.7,,17.0,1.0,0.0,0.0
CJ Jordan,6.0,6.0,18.2,0.0,158.0,Mar-39,19.75,8.61,13.7,,8.0,0.0,0.0,14.0,14.0,117.0,2.0,689.0,29-May,28.7,5.88,29.2,,24.0,0.0,1.0,0.0
SL Malinga,7.0,7.0,22.0,0.0,138.0,Mar-28,17.25,6.27,16.5,,8.0,0.0,0.0,19.0,19.0,150.3,10.0,893.0,May-52,27.9,5.93,28.2,,32.0,1.0,2.0,0.0
Shakib Al Hasan,7.0,7.0,25.1,0.0,143.0,03-Aug,17.87,5.68,18.8,,8.0,0.0,0.0,13.0,13.0,103.4,8.0,396.0,Apr-41,17.21,3.81,27.0,,23.0,1.0,0.0,0.0
MA Starc,7.0,7.0,26.0,1.0,203.0,Feb-16,25.37,7.8,19.5,,8.0,0.0,0.0,15.0,15.0,122.5,11.0,608.0,Jun-43,23.38,4.94,28.3,,26.0,2.0,1.0,0.0
CJ Anderson,7.0,7.0,21.0,0.0,192.0,Feb-28,27.42,9.14,18.0,,7.0,0.0,0.0,17.0,16.0,94.1,3.0,586.0,Apr-52,26.63,6.22,25.6,,22.0,1.0,0.0,0.0
DE Bollinger,7.0,7.0,27.0,0.0,190.0,Jan-22,27.14,7.03,23.1,,7.0,0.0,0.0,,,,,,,,,,,,,,0.0
JP Faulkner,5.0,5.0,16.4,0.0,112.0,Mar-25,16.0,6.72,14.2,,7.0,0.0,0.0,14.0,14.0,100.1,2.0,537.0,Mar-47,38.35,5.36,42.9,,14.0,0.0,0.0,0.0
KD Mills,5.0,5.0,18.5,0.0,141.0,Mar-26,20.14,7.48,16.1,,7.0,0.0,0.0,5.0,5.0,42.1,5.0,201.0,Feb-29,40.2,4.76,50.6,,5.0,0.0,0.0,0.0
KJ Abbott,7.0,7.0,21.5,0.0,175.0,Mar-21,29.16,8.01,21.8,,6.0,0.0,0.0,9.0,8.0,64.3,6.0,326.0,21-Feb,54.33,5.05,64.5,,6.0,0.0,0.0,0.0
RS Bopara,9.0,7.0,21.0,0.0,127.0,Feb-23,21.16,6.04,21.0,,6.0,0.0,0.0,20.0,14.0,49.1,0.0,284.0,26-Feb,56.8,5.77,59.0,,5.0,0.0,0.0,0.0
CJ Boyce,4.0,4.0,15.0,0.0,82.0,02-Oct,13.66,5.46,15.0,,6.0,0.0,0.0,,,,,,,,,,,,,,0.0
HMRKB Herath,3.0,3.0,11.3,2.0,53.0,05-Mar,8.83,4.6,11.5,,6.0,0.0,1.0,14.0,14.0,116.2,4.0,543.0,Mar-36,28.57,4.66,36.7,,19.0,0.0,0.0,0.0
RA Jadeja,7.0,7.0,23.0,0.0,175.0,Mar-48,29.16,7.6,23.0,,6.0,0.0,0.0,16.0,15.0,142.1,4.0,731.0,28-Apr,31.78,5.14,37.0,,23.0,2.0,0.0,0.0
AD Mathews,7.0,7.0,20.2,0.0,130.0,Mar-16,21.66,6.39,20.3,,6.0,0.0,0.0,38.0,34.0,168.3,14.0,776.0,21-Mar,31.04,4.6,40.4,,25.0,0.0,0.0,0.0
GJ Maxwell,9.0,7.0,23.0,0.0,147.0,Mar-13,24.5,6.39,23.0,,6.0,0.0,0.0,18.0,16.0,83.1,2.0,461.0,Apr-46,27.11,5.54,29.3,,17.0,1.0,0.0,0.0
JDS Neesham,6.0,6.0,14.3,0.0,107.0,Mar-22,17.83,7.37,14.5,,6.0,0.0,0.0,5.0,5.0,29.3,0.0,210.0,Feb-62,52.5,7.11,44.2,,4.0,0.0,0.0,0.0
TG Southee,4.0,4.0,16.0,0.0,146.0,Feb-20,24.33,9.12,16.0,,6.0,0.0,0.0,10.0,9.0,80.2,6.0,393.0,Jul-33,17.86,4.89,21.9,,22.0,0.0,1.0,0.0
Abdur Razzak,6.0,5.0,15.4,1.0,99.0,Feb-20,19.8,6.31,18.8,,5.0,0.0,0.0,6.0,6.0,54.0,1.0,337.0,Jan-55,112.33,6.24,108.0,,3.0,0.0,0.0,0.0
NM Coulter-Nile,4.0,4.0,13.0,0.0,103.0,Feb-17,20.6,7.92,15.6,,5.0,0.0,0.0,3.0,3.0,19.0,0.0,118.0,Apr-48,23.6,6.21,22.8,,5.0,1.0,0.0,0.0
JW Dernbach,6.0,6.0,20.0,1.0,203.0,Feb-42,40.6,10.15,24.0,,5.0,0.0,0.0,,,,,,,,,,,,,,0.0
BE Hendricks,5.0,5.0,16.4,0.0,149.0,Feb-31,29.8,8.94,20.0,,5.0,0.0,0.0,,,,,,,,,,,,,,0.0
MJ McClenaghan,5.0,5.0,20.0,0.0,126.0,Feb-24,25.2,6.3,24.0,,5.0,0.0,0.0,12.0,11.0,93.3,2.0,543.0,Apr-36,30.16,5.8,31.1,,18.0,1.0,0.0,0.0
Mahmudullah,8.0,5.0,15.0,1.0,79.0,Feb-13,15.8,5.26,18.0,,5.0,0.0,0.0,17.0,15.0,86.5,4.0,441.0,Feb-38,40.09,5.07,47.3,,11.0,0.0,0.0,0.0
Mohammed Shami,4.0,4.0,14.0,0.0,125.0,Mar-38,25.0,8.92,16.8,,5.0,0.0,0.0,17.0,16.0,135.4,5.0,719.0,Apr-35,20.54,5.29,23.2,,35.0,4.0,0.0,0.0
SCJ Broad,5.0,5.0,14.0,0.0,128.0,Mar-24,32.0,9.14,21.0,,4.0,0.0,0.0,11.0,11.0,85.1,3.0,489.0,Mar-55,48.9,5.74,51.1,,10.0,0.0,0.0,0.0
M de Lange,3.0,3.0,11.2,0.0,102.0,Feb-26,25.5,9.0,17.0,,4.0,0.0,0.0,2.0,2.0,15.5,0.0,65.0,31-Mar,16.25,4.1,23.7,,4.0,0.0,0.0,0.0
B Kumar,6.0,6.0,19.0,0.0,103.0,01-Jul,25.75,5.42,28.5,,4.0,0.0,0.0,13.0,13.0,105.1,9.0,458.0,14-Feb,41.63,4.35,57.3,,11.0,0.0,0.0,0.0
NL McCullum,6.0,6.0,21.0,0.0,126.0,01-Aug,31.5,6.0,31.5,,4.0,0.0,0.0,11.0,10.0,74.0,1.0,384.0,Feb-33,48.0,5.18,55.5,,8.0,0.0,0.0,0.0
BAW Mendis,3.0,3.0,10.3,0.0,108.0,03-Dec,27.0,10.28,15.7,,4.0,0.0,0.0,17.0,17.0,142.3,6.0,822.0,Apr-60,21.63,5.76,22.5,,38.0,2.0,0.0,0.0
SMSM Senanayake,7.0,6.0,20.0,0.0,109.0,02-Mar,27.25,5.45,30.0,,4.0,0.0,0.0,23.0,23.0,196.4,4.0,916.0,13-Apr,29.54,4.65,38.0,,31.0,1.0,0.0,0.0
TT Bresnan,6.0,6.0,17.5,0.0,184.0,Feb-51,61.33,10.31,35.6,,3.0,0.0,0.0,3.0,3.0,23.4,3.0,126.0,Mar-45,18.0,5.32,20.2,,7.0,0.0,0.0,0.0
PJ Cummins,3.0,3.0,12.0,1.0,55.0,01-Nov,18.33,4.58,24.0,,3.0,0.0,0.0,5.0,5.0,48.0,1.0,283.0,Mar-54,40.42,5.89,41.1,,7.0,0.0,0.0,0.0
JP Duminy,11.0,10.0,18.0,0.0,157.0,02-May,52.33,8.72,36.0,,3.0,0.0,0.0,21.0,17.0,99.3,0.0,548.0,Mar-35,42.15,5.5,45.9,,13.0,0.0,0.0,0.0
HF Gurney,2.0,2.0,8.0,0.0,55.0,Feb-26,18.33,6.87,16.0,,3.0,0.0,0.0,10.0,10.0,75.5,4.0,432.0,Apr-55,39.27,5.69,41.3,,11.0,1.0,0.0,0.0
Mashrafe Mortaza,5.0,5.0,18.0,0.0,142.0,01-Aug,47.33,7.88,36.0,,3.0,0.0,0.0,14.0,14.0,112.0,12.0,479.0,20-Mar,22.8,4.27,32.0,,21.0,0.0,0.0,0.0
RJ Peterson,1.0,1.0,4.0,0.0,28.0,Mar-28,9.33,7.0,8.0,,3.0,0.0,0.0,2.0,2.0,14.1,1.0,76.0,Apr-32,15.2,5.36,17.0,,5.0,1.0,0.0,0.0
