Player,Mat_t20,Inns_t20,Overs_t20,Mdns_t20,Runs_t20,BBI_t20,Ave_t20,Econ_t20,SR_t20,Team_t20,Wkts_t20,4s_t20,5s_t20,Mat_odi,Inns_odi,Overs_odi,Mdns_odi,Runs_odi,BBI_odi,Ave_odi,Econ_odi,SR_odi,Team_odi,Wkts_odi,4s_odi,5s_odi,Price,Score,Price_score,Price_adjusted
R Ashwin,9,9,35,1,199,8-Apr,11.05,5.68,11.6,,18,1,0,13,13,122.4,6,549,25-Apr,26.14,4.47,35,,21,1,0,0,17.28,700.8680555556,755.3319654882
AF Milne,7,7,27,1,178,Apr-37,12.71,6.59,11.5,,14,1,0,16,15,117.3,2,606,Mar-49,40.4,5.15,47,,15,0,0,0,18.09,669.4859038143,721.5111312126
KJ Abbott,8,8,28.2,0,208,20-Mar,18.9,7.34,15.4,,11,0,0,13,13,100.2,3,495,21-Apr,24.75,4.93,30.1,,20,1,0,0,22.74,532.5857519789,573.9725753578
Al-Amin Hossain,5,5,19,0,122,20-Mar,11.09,6.42,10.3,,11,0,0,3,3,21,0,81,22-Feb,20.25,3.85,31.5,,4,0,0,0,16.72,724.3421052632,780.6301652893
K Rabada,7,7,26.4,0,194,30-Mar,17.63,7.27,14.5,,11,0,0,14,14,125,7,604,16-Jun,20.13,4.83,25,,30,2,1,0,21.77,556.3160312356,599.5469161064
JJ Bumrah,7,7,25.3,1,172,23-Mar,17.2,6.74,15.3,,10,0,0,1,1,10,0,40,Feb-40,20,4,30,,2,0,0,0,22.04,549.500907441,592.2021943574
GD Elliott,8,7,15,0,112,22-Apr,11.2,7.46,9,,10,1,0,24,19,79,1,465,Mar-43,38.75,5.88,39.5,,12,0,0,0,16.46,735.7837181045,792.9608969402
Mustafizur Rahman,8,8,31.2,0,189,16-Feb,18.9,6.03,18.8,,10,0,0,9,9,75.2,4,321,Jun-43,12.34,4.26,17.3,,26,0,3,0,24.83,487.7567458719,525.6599421521
A Nehra,7,7,24,0,183,23-Mar,18.3,7.62,14.4,Sunrisers Hyderabad,10,0,0,,,,,,,,,,,,,,550,22.02,550,592.7400710098
MJ McClenaghan,8,8,30,0,231,23-Feb,25.66,7.7,20,,9,0,0,14,12,107.4,4,674,Mar-32,42.12,6.26,40.3,,16,0,0,0,27.7,437.2202166065,471.196258615
