Player,Mat_t20,Inns_t20,Overs_t20,Mdns_t20,Runs_t20,BBI_t20,Ave_t20,Econ_t20,SR_t20,Team_t20,Wkts_t20,4s_t20,5s_t20,Mat_odi,Inns_odi,Overs_odi,Mdns_odi,Runs_odi,BBI_odi,Ave_odi,Econ_odi,SR_odi,Team_odi,Wkts_odi,4s_odi,5s_odi,Price,Score,Price_score
TA Boult,12,12,43.5,0,382,1-Apr,20.1,8.71,13.8,,19,1,0,18,18,158.4,8,850,Jul-34,26.56,5.35,29.7,,32,1,2,0,22.51,911.1728120835
YS Chahal,10,10,37.3,0,343,23-Apr,21.43,9.14,14,,16,2,0,20,19,173.1,7,862,May-22,23.29,4.97,28,,37,1,1,0,23.14,886.3656006914
TG Southee,13,12,41,0,361,13-Mar,22.56,8.8,15.3,,16,0,0,17,17,147.3,9,823,Mar-22,34.29,5.57,36.8,,24,0,0,0,24.1,851.0580912863
IS Sodhi,14,13,49,0,392,23-Feb,26.13,8,19.6,,15,0,0,5,5,42.3,1,204,Feb-40,34,4.8,42.5,,6,0,0,0,27.6,743.134057971
AJ Tye,9,9,32,0,283,23-Apr,20.21,8.84,13.7,,14,1,0,4,4,36.3,0,169,May-46,21.12,4.63,27.3,,8,0,1,0,22.54,909.9600709849
Kuldeep Yadav,8,8,29,0,222,Mar-52,18.5,7.65,14.5,,12,0,0,20,18,162.4,6,781,Apr-23,20.02,4.8,25,,39,2,0,0,22.15,925.9819413093
B Kumar,10,10,34.4,0,237,24-May,19.75,6.83,17.3,SRH,12,0,1,27,26,202.5,12,1031,May-42,35.55,5.08,41.9,SRH,29,0,1,850,24.13,850
SL Malinga,6,6,24,0,198,1-Mar,16.5,8.25,12,,12,0,0,13,13,103.5,5,623,Feb-44,62.3,6,62.3,,10,0,0,0,20.25,1012.8641975309
AL Phehlukwayo,9,9,26.3,0,211,19-Mar,17.58,7.96,13.2,,12,0,0,15,15,106,4,591,Apr-40,39.4,5.57,42.4,,15,1,0,0,21.16,969.3052930057
HH Pandya,11,11,32.2,0,257,29-Mar,23.36,7.94,17.6,,11,0,0,31,30,216.2,2,1162,Mar-40,38.73,5.37,43.2,,30,0,0,0,25.54,803.0736100235
JRMVB Sanjaya,8,8,28.5,1,250,20-Feb,27.77,8.67,19.2,,9,0,0,,,,,,,,,,,,,,0,27.87,735.9346968066
MJ Santner,14,13,41.4,0,333,15-Feb,37,7.99,27.7,,9,0,0,21,19,165,3,748,May-50,28.76,4.53,38,,26,0,1,0,35.69,574.6847856542
JJ Bumrah,10,10,33,0,251,9-Feb,31.37,7.6,24.7,,8,0,0,26,26,212.2,14,963,May-27,22.92,4.53,30.3,,42,1,1,0,32.3,635
CJ Jordan,8,8,31,0,282,31-Mar,35.25,9.09,23.2,,8,0,0,,,,,,,,,,,,,,0,32.29,635.1966553112
NLTC Perera,11,10,32.4,0,287,24-Mar,35.87,8.78,24.5,,8,0,0,19,18,114.2,0,678,Apr-33,30.81,5.93,31.1,,22,1,0,0,33.28,616.3010817308
KW Richardson,5,5,20,0,158,1-Mar,19.75,7.9,15,,8,0,0,3,3,28.5,0,158,Mar-55,22.57,5.47,24.7,,7,0,0,0,22.9,895.6550218341
B Stanlake,6,6,23,0,208,15-Mar,26,9.04,17.2,SRH,8,0,0,,,,,,,,,,,,,,50,26.24,781.650152439
A Zampa,5,5,16,0,97,25-Mar,12.12,6.06,12,,8,0,0,9,9,75.2,1,468,Feb-13,58.5,6.21,56.5,,8,0,0,0,18.06,1135.6866002215
AC Agar,5,5,18,0,115,27-Mar,16.42,6.38,15.4,,7,0,0,2,2,19,0,125,Jan-54,62.5,6.57,57,,2,0,0,0,21.78,941.7125803489
TK Curran,6,6,21,0,195,1-Mar,27.85,9.28,18,,7,0,0,3,3,21.2,2,107,May-35,15.28,5.01,18.2,,7,0,1,0,27.28,751.8511730205
CJ Dala,3,3,12,1,110,1-Mar,15.71,9.16,10.2,,7,0,0,,,,,,,,,,,,,,0,19.36,1059.4266528926
CH Morris,6,6,23,2,176,10-Feb,25.14,7.65,19.7,,7,0,0,15,15,114,2,667,Apr-62,60.63,5.85,62.1,,11,1,0,0,27.35,749.9268738574
D Paterson,6,6,22,0,205,1-Apr,29.28,9.31,18.8,,7,1,0,3,3,26.5,0,180,Mar-44,45,6.7,40.2,,4,0,0,0,28.11,729.6513696194
SHA Rance,4,3,12,0,103,26-Mar,14.71,8.58,10.2,,7,0,0,2,2,17.3,1,110,Jan-44,110,6.28,105,,1,0,0,0,18.78,1092.1458998935
AU Rashid,5,5,20,0,147,25-Mar,21,7.35,17.1,,7,0,0,21,19,168.2,3,921,May-27,25.58,5.47,28,,36,1,1,0,24.45,838.8752556237
JD Unadkat,5,5,16.4,0,119,15-Feb,17,7.14,14.2,,7,0,0,,,,,,,,,,,,,,0,21.34,961.1293345829
C de Grandhomme,12,10,25.5,0,245,22-Feb,40.83,9.48,25.8,,6,0,0,10,10,56,1,291,Feb-40,48.5,5.19,56,,6,0,0,0,35.28,581.3633786848
Imran Tahir,3,3,10.5,0,99,24-May,16.5,9.13,10.8,,6,0,1,16,16,128.5,4,641,Apr-27,35.61,4.97,42.9,,18,1,0,0,19.93,1029.1269443051
LE Plunkett,4,4,16,0,118,27-Mar,19.66,7.37,16,,6,0,0,19,18,143.1,4,773,May-52,20.89,5.39,23.2,,37,3,1,0,23.37,877.6422764228
Shakib Al Hasan,4,4,14,0,103,24-Mar,17.16,7.35,14,,6,0,0,19,17,141,4,748,Mar-34,49.86,5.3,56.4,,15,0,0,0,21.35,960.6791569087
DJ Willey,8,8,27.3,0,250,28-Mar,41.66,9.09,27.5,,6,0,0,7,6,32.5,1,210,Jan-34,70,6.39,65.6,,3,0,0,0,36.59,560.5493304181
JP Faulkner,3,3,11,0,79,20-Mar,15.8,7.18,13.2,,5,0,0,2,2,15.5,1,104,Jan-67,104,6.56,95,,1,0,0,0,20.38,1006.4033366045
KMDN Kulasekara,5,5,20,0,183,Apr-31,36.6,9.15,24,,5,1,0,3,2,10.3,0,62,Apr-37,15.5,5.9,15.7,,4,1,0,0,33.15,618.7179487179
Mustafizur Rahman,4,4,13,0,116,21-Apr,23.2,8.92,15.6,,5,1,0,16,15,116.3,7,564,Apr-23,26.85,4.84,33.2,,21,1,0,0,24.52,836.4804241436
MD Shanaka,9,6,13.1,0,87,27-Feb,17.4,6.6,15.8,,5,0,0,,,,,,,,,,,,,,0,22.4,915.6473214286
I Udana,6,6,20,0,160,12-Jan,32,8,24,,5,0,0,,,,,,,,,,,,,,0,32,640.953125
MA Wood,3,3,11.3,0,113,1-Feb,22.6,9.82,13.8,,5,0,0,12,12,105.1,4,526,Apr-33,40.46,5,48.5,,13,1,0,0,23.62,868.3530906012
JP Behrendorff,2,2,5,0,26,Apr-18,6.5,5.2,7.5,,4,1,0,,,,,,,,,,,,,,0,12.7,1615
DAS Gunaratne,8,6,12,0,109,11-Jan,27.25,9.08,18,,4,0,0,19,15,81,1,442,Mar-37,34,5.45,37.3,,13,0,0,0,27.08,757.4039881832
Mohammad Saifuddin,6,6,18,0,199,1-Feb,49.75,11.05,27,,4,0,0,3,3,11,0,75,Jan-15,75,6.81,66,,1,0,0,0,38.05,539.0407358739
S Prasanna,9,7,23,0,152,Jan-18,38,6.6,34.5,,4,0,0,4,4,34,1,170,Feb-33,42.5,5,51,,4,0,0,0,41.1,499.0389294404
PVD Chameera,3,3,11,0,105,22-Feb,35,9.54,22,,3,0,0,11,11,75,5,329,02-Jun,65.8,4.38,90,,5,0,0,0,31.54,650.3012048193
JP Duminy,6,4,10,0,73,23-Feb,24.33,7.3,20,MI,3,0,0,17,11,39,0,238,Feb-60,119,6.1,117,MI,2,0,0,100,27.3,751.3003663004
N Pradeep,3,3,12,0,135,1-Feb,45,11.25,24,,3,0,0,12,11,93,8,532,Mar-28,35.46,5.72,37.2,,15,0,0,0,35.25,581.8581560284
R Frylinck,2,2,6,0,42,1-Feb,14,7,12,,3,0,0,,,,,,,,,,,,,,0,19,1079.5
MD Gunathilaka,6,3,4.4,0,35,3-Feb,11.66,7.5,9.3,,3,0,0,17,10,22,1,126,01-Sep,126,5.72,132,,1,0,0,0,16.8,1220.8630952381
BE Hendricks,2,2,6.3,0,70,Feb-42,23.33,10.76,13,,3,0,0,,,,,,,,,,,,,,0,23.76,863.2365319865
Mashrafe Mortaza,2,2,8,0,62,1-Feb,20.66,7.75,16,,3,0,0,18,18,143.5,6,778,Mar-65,40.94,5.4,45.4,,19,0,0,0,23.75,863.6
GJ Maxwell,7,1,2,0,10,10-Mar,3.33,5,4,,3,0,0,7,4,7,0,48,0,0,6.85,0,,0,0,0,0,9,2278.9444444445
BMAJ Mendis,2,2,4,0,29,21-Feb,9.66,7.25,8,,3,0,0,,,,,,,,,,,,,,0,15.25,1344.9508196721
C Munro,14,7,10.4,0,100,12-Jan,33.33,9.37,21.3,DD,3,0,0,15,9,32,1,139,02-Oct,69.5,4.34,96,DD,2,0,0,190,30.67,668.747962178
AM Phangiso,3,3,9,0,74,1-Feb,24.66,8.22,18,,3,0,0,,,,,,,,,,,,,,0,26.22,782.2463768116
MP Stoinis,6,6,19,0,129,16-Jan,43,6.78,38,,3,0,0,10,9,57.1,0,349,Feb-54,87.25,6.1,85.7,,4,0,0,0,44.78,458.0281375614
AJ Turner,3,3,6,0,42,12-Feb,14,7,12,,3,0,0,,,,,,,,,,,,,,0,19,1079.5
BM Wheeler,3,3,11.1,0,149,1-Feb,49.66,13.34,22.3,,3,0,0,,,,,,,,,,,,,,0,35.64,575.4910213244
DAJ Bracewell,3,1,2,0,10,Feb-18,5,5,6,,2,0,0,2,2,13,0,74,Apr-55,18.5,5.69,19.5,,4,1,0,0,11,1864.5909090909
NM Coulter-Nile,2,2,6,0,43,20-Jan,21.5,7.16,18,,2,0,0,5,5,49,0,251,Mar-44,25.1,5.12,29.4,,10,0,0,0,25.16,815.2027027027
PJ Cummins,3,3,10,0,77,28-Jan,38.5,7.7,30,,2,0,0,11,11,102,8,518,Apr-24,39.84,5.07,47,,13,1,0,0,37.7,544.0450928382
LA Dawson,4,4,14,0,105,27-Jan,52.5,7.5,42,,2,0,0,,,,,,,,,,,,,,0,49.5,414.3535353535
AK Kitchen,5,3,6,0,46,3-Jan,23,7.66,18,,2,0,0,,,,,,,,,,,,,,0,25.66,799.3180046765
DSK Madushanka,2,2,5.1,0,62,23-Feb,31,12,15.5,,2,0,0,1,1,6.1,1,26,Mar-26,8.66,4.21,12.3,,3,0,0,0,27.5,745.8363636364
Mehidy Hasan Miraz,3,3,10,0,92,1-Feb,46,9.2,30,,2,0,0,8,7,59,1,303,Feb-43,43.28,5.13,50.5,,7,0,0,0,39.2,523.2270408163
Mohammed Siraj,2,2,8,0,98,1-Jan,49,12.25,24,,2,0,0,,,,,,,,,,,,,,0,36.25,565.8068965517
Nazmul Islam,2,2,8,0,53,25-Feb,26.5,6.62,24,,2,0,0,,,,,,,,,,,,,,0,30.62,669.8399738733
AR Patel,4,4,12,0,104,20-Feb,52,8.66,36,,2,0,0,8,8,77,2,352,Mar-34,35.2,4.57,46.2,,10,0,0,0,44.66,459.2588446037
SS Pathirana,3,3,9,0,51,18-Jan,25.5,5.66,27,,2,0,0,4,4,22,1,139,Jan-16,69.5,6.31,66,,2,0,0,0,32.66,628.0006123699
JA Richardson,2,2,6,0,62,24-Jan,31,10.33,18,,2,0,0,1,1,10,1,57,Feb-57,28.5,5.7,30,,2,0,0,0,28.33,723.9851747264
