Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score,Price_adjusted
RG Sharma,9,9,0,106,45.55,136.21,38,14,,410,1,3,1,20,20,2,171,61.27,97.69,99,33,,1103,4,5,2,0,192.21,24.3725432182,1927.4245208415
KS Williamson,9,9,2,72,57.71,138.35,52,4,,404,0,4,0,27,26,2,118,48.2,86.6,130,11,,1157,1,9,1,0,198.35,25.1511052876,1988.9946085475
MJ Guptill,9,9,1,87,49.12,165.12,42,18,,393,0,4,0,29,29,4,237,64.12,101.77,166,55,,1603,5,9,0,0,229.12,29.0527917494,2297.5469861881
Sabbir Rahman,10,10,2,51,34.37,130.95,27,7,,275,0,2,0,18,14,2,57,33.25,97.08,41,9,,399,0,2,0,0,166.95,21.1695337926,1674.124778911
V Kohli,6,6,2,90,62.5,152.43,20,7,,250,0,3,0,20,20,2,138,48.5,89.17,68,12,,873,3,3,0,0,182.43,23.1324231793,1829.3535993815
AB de Villiers,8,8,0,71,29.75,146.91,28,8,,238,0,2,0,20,19,5,162,81.21,127.46,92,44,,1137,5,5,0,0,184.91,23.4468912465,1854.2222993018
S Dhawan,9,9,1,51,24.37,127.45,21,7,,195,0,1,0,20,20,0,137,45.5,91.45,112,13,,910,3,5,0,0,156.45,19.838116573,1568.8339123129
HM Amla,6,6,1,69,38.2,136.42,22,4,,191,0,1,0,23,23,0,159,36.26,86.87,93,10,,834,3,2,1,0,163.42,20.7219240036,1638.7269923309
SK Raina,9,8,2,49,31.5,132.16,20,5,,189,0,0,0,15,13,1,110,32.5,99.23,31,11,,390,1,2,2,0,157.16,19.9281457374,1575.9535804352
C Munro,9,8,2,56,31.33,206.59,11,17,Kolkata Knight Riders,188,0,2,1,5,3,0,35,25.66,85.55,5,1,Kolkata Knight Riders,77,0,0,0,30,236.59,30,2372.4539169965
EJG Morgan,6,6,1,74,37.2,140.9,7,13,,186,0,1,0,24,23,1,113,41.27,94.58,75,30,,908,1,7,2,0,161.9,20.5291855108,1623.4848859281
TAM Siriwardana,9,8,2,42,28,144.82,11,8,,168,0,0,1,13,10,1,66,29.11,114.91,23,8,,262,0,2,0,0,163.82,20.7726446595,1642.7380729632
F du Plessis,6,6,2,79,40.5,109.45,14,1,,162,0,1,0,19,19,4,133,63.8,88.77,84,13,,957,2,8,1,0,125.45,15.907265734,1257.9751633087
JE Root,5,5,0,68,32.4,143.36,18,5,,162,0,1,0,19,18,1,125,56.88,93.52,89,13,,967,5,4,1,0,167.36,21.221522465,1678.2361365592
SR Watson,4,4,1,124,53,163.91,14,7,,159,1,0,0,9,9,3,67,46.5,103.71,24,7,,279,0,2,0,0,185.91,23.5736928864,1864.2500008826
CK Kapugedera,7,6,2,48,38.75,138.39,12,8,,155,0,0,0,5,3,0,12,10,71.42,3,1,,30,0,0,0,0,158.39,20.0841117545,1588.2876533796
TM Dilshan,8,8,0,56,19.12,129.66,20,0,,153,0,2,2,19,18,1,161,46.52,95.64,84,6,,791,2,5,2,0,151.66,19.2307367175,1520.8012217409
AD Mathews,5,5,2,81,50,151.51,11,8,,150,0,1,0,19,14,2,95,36.08,87.47,29,9,,433,0,3,1,0,171.51,21.7477492709,1719.8510981194
Shakib Al Hasan,8,8,3,57,29.6,108.82,15,2,,148,0,1,0,16,14,4,63,42.1,89.95,40,3,,421,0,4,0,0,126.82,16.0809839807,1271.7131144744
JP Duminy,6,5,2,68,48.33,120.83,8,7,,145,0,1,0,15,12,1,51,24.45,73.9,18,1,,269,0,1,0,0,136.83,17.3502683968,1372.090407298
Soumya Sarkar,8,8,0,43,17.62,130.55,17,6,,141,0,0,1,15,15,2,127,51.69,102.28,88,15,,672,1,4,0,0,153.55,19.4703918171,1539.7535777286
Tamim Iqbal,8,8,0,31,17.12,116.1,14,5,,137,0,0,0,18,18,2,132,46.37,81.62,89,10,,742,2,5,2,0,135.1,17.1309015597,1354.7424835632
JC Buttler,5,5,1,54,33,151.72,8,8,,132,0,1,0,20,18,4,129,46.35,142.32,63,25,,649,3,1,3,0,168.72,21.3939726954,1691.873810709
Mushfiqur Rahim,8,8,2,26,22,110.92,14,1,,132,0,0,0,18,16,1,107,51.13,101.58,73,11,,767,2,4,0,0,125.92,15.9668625048,1262.6881830517
RR Rossouw,6,5,2,38,44,150,11,7,,132,0,0,0,15,14,2,89,37,89.87,47,9,,444,0,3,0,0,168,21.3026755146,1684.6538655709
JM Vince,3,3,0,46,41.66,119.04,12,4,,125,0,0,0,,,,,,,,,,,,,,0,135.04,17.1232934613,1354.1408214684
LD Chandimal,7,7,1,40,20.66,116.98,10,4,,124,0,0,0,15,12,5,65,51.57,83.95,26,4,,361,0,3,0,0,130.98,16.608478803,1313.4283530504
AJ Finch,2,2,0,74,59,145.67,12,4,,118,0,1,0,15,15,1,107,35.42,89.36,56,7,,496,1,4,1,0,162.67,20.6268227736,1631.2062161453
GSNFG Jayasuriya,5,5,0,40,22.6,114.14,8,5,,113,0,0,0,3,2,1,11,11,64.7,2,0,,11,0,0,1,0,127.14,16.1215605055,1274.9219789802
SPD Smith,2,2,0,90,55.5,165.67,10,4,,111,0,1,0,21,20,1,149,48.94,89.5,82,10,,930,2,6,0,0,180.67,22.909252293,1811.7048445993
