Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score
C Munro,14,14,2,109,47.66,181.58,44,40,DD,572,2,4,1,15,15,1,75,30.71,129.12,49,16,DD,430,0,3,2,190,271.58,190
MJ Guptill,14,14,0,105,33.21,138.8,31,27,,465,1,4,0,13,13,2,180,57.54,91.07,63,21,,633,2,1,0,0,201.8,1771.2722015696
RG Sharma,12,12,0,118,26.25,172.13,34,18,,315,1,1,1,27,27,3,208,60.95,97.2,135,52,,1463,7,5,2,0,226.13,1984.8254853366
V Kohli,9,9,2,82,39.14,155.68,28,8,RCB,274,0,2,1,29,29,10,160,96.47,98.49,172,23,RCB,1833,8,7,2,1700,193.68,1700
S Dhawan,9,9,1,80,33.75,145.94,35,6,SRH,270,0,2,0,26,26,3,132,55.26,103.16,169,16,SRH,1271,4,8,1,520,188.94,520
MK Pandey,10,9,5,79,65,139.03,18,9,,260,0,2,0,10,8,3,50,34.2,88.6,17,1,,171,0,1,1,0,168.03,1474.8605947955
DJ Malan,5,5,0,78,50,150.6,26,11,,250,0,4,0,,,,,,,,,,,,,,0,191.6,1681.7430813713
GJ Maxwell,7,6,3,103,83.33,160.25,23,10,,250,1,0,0,7,5,0,39,22.4,94.11,8,7,,112,0,0,0,0,194.25,1705.0030978934
AB de Villiers,6,6,1,65,48.2,154.48,22,9,,241,0,1,0,17,16,3,176,51.07,119.42,58,16,,664,1,3,1,0,186.48,1636.8029739777
MS Dhoni,13,12,6,52,39.16,145.06,18,10,CSK,235,0,1,0,32,23,11,79,57.66,81.31,53,13,CSK,692,0,6,0,1500,174.06,1500
AJ Finch,8,8,3,53,46.4,158.9,19,12,,232,0,1,0,9,9,0,124,68.88,95.09,61,15,,620,3,3,0,0,190.9,1675.5989260636
F Behardien,9,9,5,64,54.75,143.13,14,10,,219,0,1,0,5,5,2,33,19.33,90.62,4,0,,58,0,0,1,0,168.13,1475.7383312681
Soumya Sarkar,6,6,0,51,34.16,156.48,24,8,,205,0,1,1,12,11,1,87,24.3,89.01,27,4,,243,0,2,2,0,189.48,1663.1350681537
KS Williamson,13,13,1,72,17,110.27,14,6,,204,0,1,1,17,17,0,115,46.88,83.1,66,7,,797,2,6,0,0,131.27,1152.2046674928
AD Hales,7,7,1,47,33.16,154.26,23,8,,199,0,0,0,18,18,1,110,36,98.55,73,13,,612,1,5,1,0,185.26,1626.0945890128
